,job_title,company_name,location,salary,description
31,Machine Learning (AI for Augmented Reality),Highavenue,Work From Home,10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Working on video processing & 3D object detection algorithms
2. Working on a system that can be integrated into the Unity 3D engine
3. Collecting data related to our physical world"
32,Define Automation Workflow,Radar Services LLC,Work From Home,10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Creating process workflow for advanced simulation services like    Finite element analysis', 'Fracture analysis' etc. 
2. Evaluating various services vendors to establish a quality score for the vendors. 
3. Creating demo analysis problems for such simulation services"
33,Data Science,FlexiEle,Work From Home,15000 /month,"Selected intern's day-to-day responsibilities include working on a data science project where we need to extract meaningful information from structured or unstructured data.

Based on the raw data, we need to:

1. Design and implement Data frames for our BI application (business intelligence)
2. Generate meaningful dashboard using Pandas and Plotly
3. Define Dimensions, Facts, and Measures from the raw data
4. Allow users to slice and dice data in different dimensions dynamically

Skills: Candidates have to be very good at Python, Pandas, Numpy, and Plotly.js for data visualizations."
34,Online Teaching (Machine Learning & Artificial Intelligence),iCodeiCreate,Work From Home,10000 /month,Selected intern's day-to-day responsibilities include teaching machine learning and artificial intelligence using Python to school students.
35,Online Teaching (Python & Data Science),iCodeiCreate,Work From Home,10000 /month,Selected intern's day-to-day responsibilities include teaching Python and data science to school students.
36,Business Analytics,Arzooo,Bangalore,15000 /month,"Selected intern's day-to-day responsibilities include interpreting data from different sources, analyze data, and communicate how to apply findings to the business models and needs for the company. 

Your interpretation of the data will require interaction with other teams to understand what the sources of data are, how this data might affect the business and its processes, and what problems are being solved by drawing conclusions from the data that has been collected.

Requirements:

1.  Attention to detail and accuracy while solving all assigned inquiries
2.  Good with small as well as large data sets
3.  Proficiency in MS-Excel, Data Analytics, Power BI/Tableau
4.  Ability to relate to clients and various types of users to learn new business processes
5. Ability to provide process and automation improvements
6.  E-commerce industry knowledge will have an edge
7.  Assist in resolving business issues using systems and data
8.  Perform research and analysis in support of operations
9.  Analyze business goals, objectives, and needs"
37,Data Science,LocoBuzz,Work From Home,4000 /month,"Selected intern's day-to-day responsibilities include:

1. Working on machine learning, especially NLP information retrieval, etc.
2. Working with popular data science frameworks- Python, Jupyter, sklearn, NLTK, (XGBoost, and Keras are good to have).
3. Implementing ready background in deep learning techniques like word embeddings, CNN, RNN/LSTM, etc.
4. Productionizing machine learning solutions, especially ML-powered web-apps/BOTs
5. Understanding back-end concepts, and databases (SQL, Postgres, NoSQL, etc.)
6. Working with different Machine learning/deep learning projects
7. Working with structured and unstructured data
8. Working with data structures and algorithms and in a Unix environment and building robust data processing system"
38,Data Analytics,Connect And Heal,Mumbai,18000-21000 /month,"Selected intern's day-to-day responsibilities include: 

1. Making MS-Excel based reporting for management and clients
2. Assisting the finance teams with data MIS requirements
3. Acting as an internal process engineer to improve the overall efficiency of various divisions
4. Assisting in creating power point proposals for corporate clients"
39,Data Analytics,Algowire Trading Technologies Private Limited,Work From Home,10000-20000 /month,"Selected intern's day-to-day responsibilities include:

1. Improving/enhancing the models for pricing
2. Presenting complex statistical concepts and research results to non-statistical audience"
40,Research - Images,Nettv4u,Work From Home,5000 /month,"Selected intern's day-to-day responsibilities include: 

1. We need Interns who can find Indian celebrities (Can be actors/actress/Dubbing artist/Anchors etc. We need the Serials & Shows that we dont have
2. We need their exact name and images in a word file and submitted to us
3. You will have to research for 1000 celebs and give us in 1 month.
4. Need to be sure we the names we give you those exact celebs you will find an HD image
Do not apply if you are already working with us in other jobs"
41,Research - Images,Nettv4u,Work From Home,5000 /month,"Selected intern's day-to-day responsibilities include: 

1. We need Interns who can find Indian celebrities (Can be actors/actress/Dubbing artist/Anchors etc. We need the Serials & Shows that we dont have
2. We need their exact name and images in a word file and submitted to us
3. You will have to research for 1000 celebs and give us in 1 month.
4. Need to be sure we the names we give you those exact celebs you will find an HD image
Do not apply if you are already working with us in other jobs"
42,Machine Learning,KUKbit Software Lab,Pune,4000 /month,"Selected intern's day-to-day responsibilities include: 

1. Analyzing data, developing predictive algorithms, designing, and recommending code algorithms using
advanced machine learning algorithms
2. Designing, developing, and testing sales recommendation solutions
3. Performing explanatory data analysis
4. Preparing and analyzing data & identifying patterns"
43,Business Analytics,Stirring Minds,Work From Home,5000-10000 /month,"Selected intern's day-to-day responsibilities include:

1. Working on analyzing companies' data and driving meaning out of the data after plotting the same across dashboards
2. Work using various software tools that we use to measure our KPIs"
44,Data Analytics,Nuclei Technologies,Work From Home,2000-5000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on assisting in curating an online course
2. Work on solving problems faced by students
3. Work on understanding the implementation of this course"
45,Machine Learning,Nuclei Technologies,Work From Home,2000-5000 /month,"Selected intern's day-to-day responsibilities include:

1. Work on assisting in curating an online course for machine learning
2. Work on solving problems faced by students as a teaching assistant
3. Work on understanding the implementation of the course"
46,Data Analytics & Social Media Marketing,ONergy,Kolkata,8000 /month,"Selected intern's day-to-day responsibilities include: 

1. Analyzing various databases
2. Shortlisting target audiences
3. Working on WhatsApp and social media marketing of the shortlisted databases
4. Researching different customer segments
5. Promoting COVID care products"
47,Artificial Intelligence and Machine Learning,Oye Busy Technologies Private Limited,Work From Home,3000 /month,"Selected intern's day-to-day responsibilities include working on training, fine-tuning, and deploying NLP and Computer Vision algorithms for text to speech, speech to text, scene description, visual question answering, and other ML tasks."
48,Business Analytics,Only4rental.in,Work From Home,2000 /month,"- Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions.
- Leading ongoing reviews of business processes and developing optimization strategies.
- Staying up-to-date on the latest process and IT advancements to automate and modernize systems.
- Conducting meetings and presentations to share ideas and findings.
- Performing requirements analysis.
- Documenting and communicating the results of your efforts.
- Effectively communicating your insights and plans to cross-functional team members and management.
- Gathering critical information from meetings with various stakeholders and producing useful reports.
- Working closely with clients, technicians, and managerial staff.
- Providing leadership, training, coaching, and guidance to junior staff.
- Allocating resources and maintaining cost efficiency.
- Ensuring solutions meet business needs and requirements.
- Performing user acceptance testing.
- Managing projects, developing project plans, and monitoring performance.
- Updating, implementing and maintaining procedures.
- Prioritizing initiatives based on business needs and requirements.
- Serving as a liaison between stakeholders and users.
- Managing competing resources and priorities.
- Monitoring deliverable's and ensuring timely completion of projects."
49,Computer Vision/Machine Learning,Kontiki Innovation Labs,Work From Home,10000 /month,"Selected intern's day-to-day responsibilities include: 

1. Developing prototypes using Human Pose models
2. Working on Python, OpenCV, TensorFlow, Postnet, etc
3. Researching, analyzing and coding in ML; Integrate them with existing apps"
50,Risk Analytics,Open,Bangalore,30000 /month,"Selected intern's day to day responsibilities include:

1. Monitor online and offline transactions and report patterns of fraudulent activities
2. Work on merchant risk assessment
3. Work closely with other teams, such as customer support, to better address risk related queries of end-users

Education:
MBA in Operations (must)
(This is a fulltime role, only those who completed an MBA can apply).

Experience:
Fresher- 6 months 
Location :
RGA Techpark, Bangalore"
51,Machine Learning,Tawi Tech Solutions,Work From Home,4000 lump sum,"IMAGE PROCESSING/MACHINE LEARNING FOR AUTOMATED EXTRACTION OF INVOICE DATA

The AI & Robotics Division of Tawi Tech Solutions is looking for an intern to develop an automated invoice processing system to process data contained in .jpeg images and, put it in a searchable and indexable format.

The problem is challenging due to non-standard invoice formats and, the presence of both handwritten and computer-typed texts.

TASKS: 

1. Pre-processing such as edge detection, bounding box calculation, high frequency and low-frequency noise elimination, de-skew, distortion elimination, glare removal, thinning, locally adaptive thresholding and so on using python, Tesseract/tesserOCR, openGL
2. Develop and implement table structure extraction algorithms
3. develop and implement machine learning algorithms using neural network implementations in Tesseract/tesserOCR
4. Post-classification processing such as incorporation of heuristics, Bayesian likelihood dictionaries and dictionaries to improve overall classification accuracy

TTS will provide a GitHub set-up.

The internship is expected to last 4-5 months.

TTS will issue a training completion certificate and write a letter of recommendation. and issue a remuneration of INR4K if the delivery meets targets agreed during the course of the internship."
52,Data Science/ML,Centre For Computational  Technologies Private Limited,Work From Home,8000 /month,"Selected intern's day-to-day responsibilities include: 

1. Working on data science algorithms and AI concepts 
2. Using Python or R for web scraping 
3. Building AI models using Python, machine learning, and deep learning algorithms 
4. Processing of unstructured/structured data"
53,Social Media Analyst,Adhyayan Foundation,Work From Home,Unpaid,"Selected intern's day-to-day responsibilities include: 

1. Promote social media growth in time bound manner 
2. Prepare a report on a personality-specific social media
3. Analyze social media account & suggest better options"
